dim	coefficient
211	-0.068777286
212	-0.111988515
213	-0.04337082
214	0.19443616
215	-0.05907845
216	0.24716674
217	0.03469782
218	-0.3122176
219	0.036705498
220	-0.14514588
221	-0.006231129
222	-0.16334608
223	-1.73226e-07
224	-0.118897825
225	-0.13258618
226	0.06421739
227	-0.12067047
228	0.0666076
229	-0.10364014
230	-0.02511363
231	0.2219319
232	-0.044243068
233	-0.06984405
234	-0.067355715
235	-0.08428708
236	0.020595279
237	0.17399473
238	0.07472574
239	-0.29083806
240	0.11567318
241	-0.038410544
242	-0.03322796
243	-0.18373959
244	0.03425712
245	-0.12806697
246	0.19977371
247	0.16256565
248	-0.30721092
249	0.22349562
250	-0.044287667
251	-0.0055748206
252	0.009599247
253	-0.32073677
254	0.17209427
255	0.020906188
256	-0.24719113
257	-0.04125462
258	0.10855517
259	-0.022654265
260	0.01656954
261	-0.36108425
262	0.14758854
263	0.045608535
264	-0.08787206
265	0.1324853
266	0.13128124
267	-0.018997036
268	-0.35194233
269	-0.055734906
270	-0.056086265
271	-0.069573976
272	0.06833922
273	0.06787752
274	0.16502473
275	-0.05594688
276	0.075226426
277	-0.10336566
278	0.19605076
279	-0.08211629
280	-0.16932592
281	0.062334064
282	0.023559459
283	0.025338508
284	0.16600418
285	-0.10393624
286	0.06549788
287	0.103226334
288	0.05588441
289	0.13936098
290	-0.2537972
291	0.22340381
292	-0.092613734
293	-0.47092396
294	0.06403134
295	-0.040431045
296	-0.03324476
297	-0.12531452
298	-0.12196648
299	0.14746071
300	0.018902194
301	0.12505949
302	-0.0470303
303	0.044366777
304	-0.03252826
305	0.03387588
306	0.001657255
307	-0.10072169
308	-0.09432946
309	0.036518324
310	0.16191858
311	-0.033416677
312	0.099231854
313	0.08776956
314	0.03760439
315	-0.10000526
316	0.05217868
317	-0.18480305
318	-0.09421026
319	-1.1175871e-07
320	-0.018183999
321	0.07725322
322	-0.083600625
323	-0.21597868
324	0.042237625
325	0.17749228
326	-0.052833434
327	0.056664065
328	-0.07616106
329	-0.24975592
330	-0.17923903
331	0.031987157
332	-0.112203285
333	-0.13619223
334	-0.061727762
335	-0.04777174
336	0.00078866445
337	0.035178855
338	-0.41394508
339	0.064865656
340	-0.0042190454
341	-0.13731949
